dou, though
wsh, wish
hia, here
apologise, apologize
apologises, apologizes
arse, ass
aww, cute
azz, ass
b4, before
bak, back
boi, boy
borthday, birthday
bout, about
brkn, broken
can't, cannot
cant, cannot
chillen, relaxing
chillin, relaxing
chilling, relaxing
cmon, come on
comin, coming
cum, come
cuz, because
da, the
damnit, damn
dang, damn
dangit, damn
darnit, damn
dat, that
dayy, day
daym, damn
def, definitely
dey, they
dissapointed, disappointed
dnt, dont
dyin, dying
embarass, embarrassed
embarassed, embarrassed
embarassing, embarrassing
enuf, enough
enuff, enough
erething, everything
fckn, fucking
ffs, for fucks sake
finall, final
fml, fuck my life
friendss, friends
friendsss, friends
fuckin, fucking
fck, fuck
fuk, fuck
fukin, fucking
fuking, fucking
fukk, fuck
goin, going
gonna, going to
gotta, got to
gunna, going to
hahaha, haha
hahahaha, haha
hangin, hanging
happnin, happening
hav, have
hella, very
hurtin, hurting
iffy, unsure
ikr, i know right
ilove, i love
ima, i'm going to
imma, i'm going to
iz, is
jus, just
killin, killing
laff, laugh
laf, laugh
lil, little
lmao, happy
lol, happy
looove, love
loove, love
luv, love
mos, most
mothafuckn, motherfucking
motherfuckn, motherfucking
muthafuckn, motherfucking
muthafucker, motherfucker
muthafuckr, motherfucker
moviee, movie
movieee, movie
mwah, good
ne, any
nigga, nigger
ova, over
pland, planned
ppl, people
pissd, pissed
pysch, psych
rdy, ready
realise, realize
realised, realized
retarted, retarded
rofl, happy
smh, sad
smdh, sad
smfh, sad
shoulda, should have
sike, pysch
sis, sister
somethin, something
sorta, sort of
suk, suck
sux, sucks
suks, sucks
ta, to
tmrw, tomorrow
tomarrow, tomorrow
tonite, tonight
tweeps, people
tweeple, people
tweople, people
tweeples, people
tweoples, people
2gether, together
u, you
ur, your
w, with
w0w, wow
wanna, want to
wantto, want to
wat, what
watchd, watched
watchin, watching
wats, what is
whts, what is
wory, worry
wtf, shit
wunna, want to
ya, yes
yu, you
